timestamp,level,message
2023-10-01 10:04:00,ERROR,Network failure
2023-10-01 10:09:00,ERROR,Service failure: Apache
2023-10-01 10:14:00,ERROR,Network failure
2023-10-01 10:19:00,ERROR,Service failure: Apache
2023-10-01 10:24:00,ERROR,Network failure
2023-10-01 10:29:00,ERROR,Service failure: Apache
2023-10-01 10:34:00,ERROR,Network failure
2023-10-01 10:39:00,ERROR,Service failure: Apache
2023-10-01 10:44:00,ERROR,Network failure
2023-10-01 10:49:00,ERROR,Service failure: Apache
2023-10-01 10:54:00,ERROR,Network failure
2023-10-01 10:59:00,ERROR,Service failure: Apache
2023-10-01 11:04:00,ERROR,Network failure
2023-10-01 11:09:00,ERROR,Service failure: Apache
2023-10-01 11:14:00,ERROR,Network failure
2023-10-01 11:19:00,ERROR,Service failure: Apache
2023-10-01 11:24:00,ERROR,Network failure
2023-10-01 11:29:00,ERROR,Service failure: Apache
2023-10-01 11:34:00,ERROR,Network failure
2023-10-01 11:39:00,ERROR,Service failure: Apache
2023-10-01 11:44:00,ERROR,Network failure
2023-10-01 11:49:00,ERROR,Service failure: Apache
2023-10-01 11:54:00,ERROR,Network failure
2023-10-01 11:59:00,ERROR,Service failure: Apache
